name,location,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,season,total_salary,avg_player_salary,avg_team_exp,avg_team_age,seasons_played,play_off,champion
Boston Celtics,TD Garden,72,17430,2971,6448,0.461,905,2487,0.364,2066,3961,0.522,1336,1668,0.801,768,2549,3317,1655,595,406,995,1553,8183,2019/2020,119147447,5957372.35,2.41,24.59,,0,0
Detroit Pistons,Little Caesars Arena,66,15965,2595,5658,0.459,791,2157,0.367,1804,3501,0.515,1097,1476,0.743,644,2109,2753,1589,490,299,1008,1299,7078,2019/2020,131207223,5466967.62,3.95,25.45,,0,0
Cleveland Cavaliers,Quicken Loans Arena,65,15725,2619,5715,0.458,727,2070,0.351,1892,3645,0.519,983,1296,0.758,704,2172,2876,1500,447,211,1073,1188,6948,2019/2020,131181714,5703552.78,3.19,24.62,,0,0
Philadelphia 76ers,Wells Fargo Center,73,17595,3000,6417,0.468,848,2307,0.368,2152,4110,0.524,1236,1638,0.755,764,2553,3317,1884,586,389,1037,1529,8084,2019/2020,131997240,6947223.16,4,25.89,,0,0
Utah Jazz,Vivint Smart Home Arena,72,17355,2886,6130,0.471,963,2537,0.38,1923,3593,0.535,1278,1641,0.779,656,2577,3233,1615,438,292,1089,1468,8013,2019/2020,121899425,6094971.25,3.5,25.9,,0,0
Indiana Pacers,Bankers Life Fieldhouse,73,17620,3075,6457,0.476,743,2046,0.363,2332,4411,0.529,1096,1393,0.787,636,2489,3125,1888,543,376,967,1445,7989,2019/2020,114708526,6372695.89,3.24,24.88,,0,0
Los Angeles Clippers,STAPLES Center,72,17380,2992,6425,0.466,895,2410,0.371,2097,4015,0.522,1498,1894,0.791,767,2664,3431,1708,511,338,1051,1594,8377,2019/2020,133941896,7441216.44,5.1,26.7,,0,0
Golden State Warriors,Chase Center,65,15725,2510,5730,0.438,678,2032,0.334,1832,3698,0.495,1214,1511,0.803,647,2138,2785,1663,534,299,969,1304,6912,2019/2020,131527930,7307107.22,2.77,24.59,,0,0
Atlanta Hawks,State Farm Arena,67,16280,2723,6067,0.449,805,2416,0.333,1918,3651,0.525,1237,1566,0.79,661,2237,2898,1605,523,341,1086,1548,7488,2019/2020,113286744,5149397.45,4.14,25.76,,0,0
Washington Wizards,Capital One Arena,72,17355,2990,6544,0.457,864,2345,0.368,2126,4199,0.506,1394,1770,0.788,732,2295,3027,1801,574,309,1020,1634,8238,2019/2020,131687877,5725559.87,3.3,25.26,,0,0
