name,location,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,season,total_salary,avg_player_salary,avg_team_exp,avg_team_age,seasons_played,play_off,champion
Dallas Mavericks,American Airlines Center,82,19830,3249,6858,0.474,721,1877,0.384,2528,4981,0.508,1378,1733,0.795,840,2514,3354,1935,704,356,1110,1636,8597,2013/2014,67486257,4820446.93,6.33,28.2,,0,0
Detroit Pistons,The Palace of Auburn Hills,82,19780,3182,7124,0.447,507,1580,0.321,2675,5544,0.483,1415,2111,0.67,1196,2525,3721,1714,687,395,1193,1666,8286,2013/2014,59157073,4929756.08,3.93,25.6,,0,0
Utah Jazz,EnergySolutions Arena,82,19780,2951,6652,0.444,543,1577,0.344,2408,5075,0.474,1346,1803,0.747,904,2477,3381,1664,570,366,1200,1699,7791,2013/2014,54491476,4540956.33,4,25.82,,0,0
Cleveland Cavaliers,Quicken Loans Arena,82,19930,3036,6955,0.437,584,1640,0.356,2452,5315,0.461,1398,1861,0.751,989,2629,3618,1738,579,304,1163,1640,8054,2013/2014,47050404,4277309.45,2.95,24.52,,0,0
Los Angeles Lakers,STAPLES Center,82,19705,3139,6980,0.45,774,2032,0.381,2365,4948,0.478,1390,1835,0.757,745,2620,3365,2006,611,446,1239,1627,8442,2013/2014,76755609,6396300.75,5.47,27.26,,0,0
Los Angeles Clippers,STAPLES Center,82,19755,3208,6761,0.474,693,1966,0.352,2515,4795,0.525,1741,2384,0.73,858,2668,3526,2016,703,397,1136,1767,8850,2013/2014,73103861,5623373.92,7.1,28.55,,0,0
Minnesota Timberwolves,Target Center,82,19855,3189,7175,0.444,600,1757,0.341,2589,5418,0.478,1790,2301,0.778,1024,2644,3668,1963,718,297,1142,1504,8768,2013/2014,67485845,4820417.5,3.65,26,,0,0
Phoenix Suns,US Airways Center,82,19755,3172,6845,0.463,765,2055,0.372,2407,4790,0.503,1520,2004,0.758,928,2601,3529,1563,688,374,1258,1798,8629,2013/2014,64412586,3788975.65,3.2,25.87,,0,0
San Antonio Spurs,AT&T Center,82,19755,3326,6844,0.486,698,1757,0.397,2628,5087,0.517,1289,1642,0.785,762,2786,3548,2064,604,420,1180,1495,8639,2013/2014,63666028,4547573.43,5.37,27.89,,1,1
Houston Rockets,Toyota Center,82,19830,3118,6603,0.472,779,2179,0.358,2339,4424,0.529,1814,2549,0.712,920,2797,3717,1755,621,461,1323,1676,8829,2013/2014,63413126,3963320.38,3.22,25.39,,0,0
Denver Nuggets,Pepsi Center,82,19755,3147,7042,0.447,702,1959,0.358,2445,5083,0.481,1563,2154,0.726,1009,2717,3726,1838,615,459,1305,1890,8559,2013/2014,67324401,4488293.4,4.62,26,,0,0
